iter	Passed	Remaining
0	175	175633
1	179	89808
2	183	61064
3	189	47152
4	193	38448
5	196	32626
6	200	28499
7	205	25430
8	208	22998
9	213	21144
10	217	19554
11	221	18214
12	225	17146
13	230	16205
14	233	15345
15	237	14626
16	242	13996
17	246	13425
18	249	12893
19	254	12456
20	258	12060
21	263	11694
22	267	11357
23	271	11053
24	275	10747
25	279	10480
26	285	10278
27	289	10051
28	293	9837
29	297	9631
30	302	9456
31	306	9269
32	310	9107
33	315	8966
34	320	8830
35	324	8684
36	328	8544
37	332	8426
38	337	8308
39	341	8205
40	346	8107
41	350	7999
42	354	7887
43	360	7837
44	364	7735
45	368	7638
46	373	7567
47	377	7490
48	381	7404
49	384	7310
50	388	7226
51	390	7126
52	393	7023
53	395	6920
54	397	6822
55	398	6723
56	402	6653
57	403	6557
58	405	6463
59	406	6371
60	408	6283
61	410	6204
62	411	6123
63	413	6052
64	416	5995
65	418	5920
66	419	5845
67	421	5772
68	422	5701
69	423	5631
70	425	5564
71	426	5501
72	428	5447
73	430	5389
74	432	5328
75	433	5269
76	434	5212
77	436	5155
78	437	5100
79	438	5046
80	440	4995
81	441	4944
82	442	4890
83	444	4845
84	445	4798
85	447	4752
86	448	4706
87	449	4663
88	451	4620
89	453	4589
90	455	4549
91	456	4510
92	458	4474
93	460	4437
94	461	4398
95	463	4362
96	464	4324
97	466	4289
98	467	4253
99	468	4219
100	470	4187
101	472	4156
102	474	4131
103	476	4101
104	477	4070
105	479	4040
106	480	4010
107	481	3979
108	483	3950
109	484	3922
110	486	3895
111	488	3873
112	489	3846
113	491	3818
114	492	3791
115	494	3765
116	495	3737
117	496	3712
118	498	3687
119	499	3662
120	501	3640
121	502	3618
122	504	3597
123	505	3574
124	507	3550
125	508	3527
126	509	3504
127	511	3482
128	512	3461
129	514	3439
130	515	3419
131	517	3400
132	519	3383
133	520	3363
134	521	3344
135	523	3324
136	524	3306
137	526	3286
138	527	3267
139	529	3249
140	530	3231
141	531	3211
142	533	3197
143	534	3180
144	536	3162
145	537	3145
146	539	3127
147	540	3110
148	541	3094
149	543	3080
150	545	3065
151	547	3053
152	549	3040
153	550	3024
154	551	3009
155	553	2994
156	554	2979
157	556	2964
158	557	2949
159	559	2935
160	560	2918
161	562	2907
162	563	2894
163	565	2881
164	566	2868
165	568	2854
166	569	2840
167	570	2826
168	572	2813
169	573	2801
170	575	2789
171	577	2780
172	579	2768
173	580	2755
174	581	2743
175	583	2731
176	584	2718
177	586	2707
178	587	2695
179	589	2684
180	590	2673
181	592	2664
182	594	2653
183	595	2641
184	597	2630
185	598	2619
186	599	2607
187	601	2597
188	602	2586
189	604	2576
190	607	2571
191	609	2563
192	610	2552
193	612	2542
194	613	2532
195	614	2521
196	616	2511
197	617	2501
198	619	2491
199	622	2491
200	624	2484
201	626	2475
202	628	2466
203	629	2455
204	630	2446
205	632	2436
206	633	2428
207	635	2420
208	637	2414
209	639	2405
